pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
Kepler-25 d,Radial Velocity,2455715.0,6.8,7.2,122.4,0.8,0.71,,,,,,,,,,,,,10.0,,,,,,1.32,0.02,0.02,0.13,0.13,0.09,1.17,0.03,0.03,,,
Kepler-250 b,Transit,2454966.39095,0.00672,0.00672,4.148141,4.6e-05,4.6e-05,2.403,0.193,0.193,,,,89.58,,,0.75,0.3,0.3,1.13,0.68,0.68,12.61,0.166,0.166,0.81,0.46,0.46,0.0,,,0.83,0.03,0.04,0.01175,0.00075,0.00065
Kepler-250 c,Transit,2455007.13628,0.00167,0.00167,7.156804,2.2e-05,2.2e-05,2.567,0.058,0.058,,,,88.68,,,0.05,0.22,0.22,2.28,1.31,1.31,20.94,3.3,3.3,0.81,0.46,0.46,0.0,,,0.83,0.03,0.04,0.02776,0.00064,0.00089
Kepler-250 d,Transit,2454966.545,0.00297,0.00297,17.648312,8.1e-05,8.1e-05,1.98,0.086,0.086,,,,89.27,,,0.02,0.24,0.24,2.18,1.25,1.25,68.2,11.2,11.2,0.81,0.46,0.46,0.0,,,0.83,0.03,0.04,0.02564,0.00145,0.00056
Kepler-251 b,Transit,2454969.31148,0.00458,0.00458,4.790936,3.7e-05,3.7e-05,2.705,0.122,0.122,,,,89.55,,,0.25,0.21,0.21,1.33,0.24,0.24,13.7,1.0,1.0,0.89,0.15,0.15,0.0,,,0.95,0.04,0.04,0.01539,0.00069,0.00039
Kepler-251 c,Transit,2455009.11632,0.00181,0.00181,16.514043,5.4e-05,5.4e-05,4.108,0.065,0.065,,,,89.22,,,0.2,0.22,0.22,2.77,0.49,0.49,31.38,1.7,1.7,0.89,0.15,0.15,0.0,,,0.95,0.04,0.04,0.02872,0.00017,0.0009
Kepler-251 d,Transit,2455023.38322,0.00301,0.00301,30.133001,0.000161,0.000161,4.919,0.098,0.098,,,,88.21,,,0.3,0.21,0.21,2.77,0.49,0.49,28.5,9.5,9.5,0.89,0.15,0.15,0.0,,,0.95,0.04,0.04,0.0321,0.001,0.001
Kepler-251 e,Transit,2455031.69312,0.00519,0.00519,99.640161,0.001074,0.001074,4.36,0.174,0.174,,,,89.99,,,0.23,0.23,0.23,2.77,0.49,0.49,175.84,7.9,7.9,0.89,0.15,0.15,0.0,,,0.95,0.04,0.04,0.02788,0.00118,0.00078
Kepler-252 b,Transit,2454970.43483,0.00271,0.00271,6.668391,3.1e-05,3.1e-05,1.978,0.081,0.081,,,,88.24,,,0.78,0.28,0.28,1.23,0.12,0.12,25.9,6.4,6.4,0.55,0.03,0.03,0.0,,,0.61,0.01,0.01,0.01857,0.0006,0.00086
Kepler-252 c,Transit,2455004.80432,0.00081,0.00081,10.848463,1.5e-05,1.5e-05,2.976,0.029,0.029,,,,89.57,,,0.17,0.19,0.19,2.15,0.13,0.13,28.786,0.99,0.99,0.55,0.03,0.03,0.0,,,0.61,0.01,0.01,0.03694,0.00098,0.00047
Kepler-253 b,Transit,2454966.28036,0.00278,0.00278,3.783986,1.7e-05,1.7e-05,1.932,0.077,0.077,,,,86.54,,,0.27,0.23,0.23,1.63,0.67,0.67,15.03,1.3,1.3,0.79,0.32,0.32,0.0,,,0.85,0.04,0.04,0.01959,0.001,0.00043
Kepler-253 c,Transit,2455008.33982,0.00164,0.00164,10.281951,3.2e-05,3.2e-05,3.517,0.062,0.062,,,,89.59,,,0.49,0.23,0.23,2.65,1.11,1.11,23.23,2.4,2.4,0.79,0.32,0.32,0.0,,,0.85,0.04,0.04,0.02985,0.00087,0.00052
Kepler-253 d,Transit,2455015.6162,0.00195,0.00195,18.119869,6.6e-05,6.6e-05,4.29,0.08,0.08,,,,89.64,,,0.65,0.28,0.28,3.17,1.3,1.3,33.19,2.5,2.5,0.79,0.32,0.32,0.0,,,0.85,0.04,0.04,0.03483,0.00077,0.0006
Kepler-254 b,Transit,2455006.01039,0.00101,0.00101,5.826662,1e-05,1e-05,3.032,0.049,0.049,,,,89.88,,,0.74,0.29,0.29,3.87,1.85,1.85,15.796,0.124,0.124,0.91,0.43,0.43,0.0,,,0.93,0.04,0.05,0.03806,0.00046,0.00064
